#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180521-213005.411;20180521-213005.000;37.78875730;-122.39881100;11.0;230.1;157.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213005.912;20180521-213006.000;37.78875000;-122.39881900;10.0;228.2;163.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213006.415;20180521-213006.000;37.78875000;-122.39881900;10.0;228.2;162.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213006.914;20180521-213007.000;37.78874210;-122.39883400;10.0;233.7;175.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213007.415;20180521-213007.000;37.78874210;-122.39883400;10.0;233.7;169.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213007.915;20180521-213008.000;37.78873440;-122.39883400;11.0;233.7;180.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213008.417;20180521-213008.000;37.78873440;-122.39883400;11.0;233.7;174.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213008.917;20180521-213009.000;37.78872300;-122.39882700;10.0;200.5;183.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213009.419;20180521-213009.000;37.78872300;-122.39882700;10.0;200.5;173.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213009.923;20180521-213010.000;37.78871540;-122.39881900;10.0;168.6;178.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213010.423;20180521-213010.000;37.78871540;-122.39881900;10.0;168.6;168.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213010.922;20180521-213011.000;37.78870390;-122.39881900;10.0;170.1;162.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213011.426;20180521-213011.000;37.78870390;-122.39881900;10.0;170.1;155.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213011.925;20180521-213012.000;37.78869630;-122.39881100;10.0;149.0;159.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213012.427;20180521-213012.000;37.78869630;-122.39881100;10.0;149.0;159.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213012.929;20180521-213013.000;37.78869000;-122.39881100;9.0;149.0;153.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213013.428;20180521-213013.000;37.78869000;-122.39881100;9.0;149.0;154.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-213013.930;20180521-213014.000;37.78867720;-122.39881100;9.0;162.5;148.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-213014.432;20180521-213014.000;37.78867720;-122.39881100;9.0;162.5;163.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
